** File generated by WinEP - 5/22/2016 (4:47p) **

Station 	Fy_R1   
0.000000	-0.000000
0.555506	-14.573507
1.110885	-25.826277
1.666138	-32.269066
2.221294	-35.574135
2.776387	-26.473902
3.331460	-11.020587
3.886556	5.654865
4.441710	21.784800
4.996935	29.834648
5.552223	27.890347
6.107550	16.876247
6.662891	2.040690
7.218226	-12.717569
7.773544	-25.526560
8.328842	-32.580269
8.884126	-33.777771
9.439404	-31.524117
9.994685	-28.211950
10.549976	-25.224152
11.105283	-23.730185
11.660606	-24.434425
12.215945	-26.659161
12.771295	-30.157043
13.326652	-34.573406
13.882010	-39.096130
14.437370	-42.982243
14.992730	-45.844833
15.548091	-47.737282
16.103455	-48.759491
16.658821	-49.433796
17.214193	-50.232040
17.769571	-51.309326
18.324957	-52.674305
18.880348	-54.335052
19.435745	-56.165791
19.991146	-57.970425
20.546549	-59.697937
21.101957	-61.296692
21.657366	-62.648773
22.212780	-63.749733
22.768196	-64.671654
23.323616	-65.474655
23.879038	-66.209198
24.434465	-66.974030
24.989897	-67.757576
25.545330	-68.532829
26.100767	-69.279488
26.656208	-69.984344
27.211653	-70.609070
27.767097	-71.157837
28.322546	-71.629478
28.877998	-72.018959
29.433453	-72.327400
29.988909	-72.576141
30.544369	-72.776352
31.099831	-72.938301
31.655294	-73.077347
32.210762	-73.161545
32.766232	-73.228844
33.321701	-73.234909
33.877178	-73.206528
34.432652	-73.149208
34.988129	-73.058426
35.543610	-72.923820
36.099091	-72.751762
36.654575	-72.549072
37.210060	-72.319672
37.765549	-72.060608
38.321037	-71.787796
38.876530	-71.491577
39.432022	-71.178246
39.987514	-70.847710
40.543011	-70.498032
41.098511	-70.124344
41.654007	-69.744492
42.209511	-69.350838
42.765011	-68.941978
43.320515	-68.519699
43.876019	-68.091644
44.431526	-67.653862
44.987034	-67.210503
45.542542	-66.761238
46.098053	-66.311279
46.653564	-65.857124
47.209076	-65.397034
47.764587	-64.938217
48.320103	-64.477005
48.875618	-64.013428
49.431137	-63.555298
49.986656	-63.094864
50.542171	-62.641544
51.097694	-62.186031
51.653214	-61.738270
52.208736	-61.292160
52.764259	-60.858418
53.319782	-60.429771
53.875305	-60.004780
54.430832	-59.590927
54.986359	-59.186691
55.541885	-58.787151
56.097412	-58.391331
56.652939	-58.003788
57.208469	-57.626900
57.764000	-57.265427
58.319530	-56.915661
58.875061	-56.568256
59.430592	-56.228199
59.986126	-55.902020
60.541656	-55.593288
61.097191	-55.283237
61.652725	-54.991013
62.208260	-54.712585
62.763798	-54.434029
63.319332	-54.169369
63.874870	-53.916611
64.430405	-53.678368
64.985947	-53.441898
65.541481	-53.225056
66.097023	-53.020252
66.652557	-52.821392
67.208099	-52.623695
67.763641	-52.453590
68.319176	-52.278137
68.874718	-52.121647
69.430260	-51.975437
69.985802	-51.832481
70.541344	-51.696541
71.096886	-51.571991
71.652428	-51.458141
72.207970	-51.352219
72.763512	-51.259834
73.319061	-51.181217
73.874603	-51.102139
74.430145	-51.021317
74.985695	-50.966045
75.541237	-50.915985
76.096779	-50.860710
76.652328	-50.823864
77.207870	-50.794945
77.763420	-50.736752
78.318962	-50.743988
78.874512	-50.729324
79.430061	-50.712959
79.985603	-50.697350
80.541153	-50.680756
81.096703	-50.678879
81.652245	-50.671009
82.207794	-50.683678
82.763344	-50.703014
83.318893	-50.728428
83.874443	-50.781403
84.429993	-50.838039
84.985542	-50.884747
85.541084	-50.927986
86.096634	-50.982704
86.652184	-50.994797
87.207733	-51.037071
87.763283	-51.110817
