** File generated by WinEP - 5/21/2016 (1:16p) **

Station 	Steer_SW
0.000000	0.000000
0.833240	-0.000007
1.666260	-0.000007
2.499062	-0.000007
3.331689	-0.000007
4.164200	-0.000007
4.996677	-0.000007
5.829199	-0.040819
6.661808	-0.099771
7.494511	-0.161221
8.327294	-0.204870
9.160134	-0.250492
9.993003	-0.294632
10.825874	-0.340475
11.658734	-0.382114
12.491575	-0.420751
13.324402	-0.460146
14.157224	-0.494361
14.990050	-0.528437
15.822894	-0.570542
16.655760	-0.611034
17.488649	-0.643774
18.321562	-0.674711
19.154491	-0.704540
19.987434	-0.733549
20.820383	-0.763787
21.653336	-0.796950
22.486294	-0.829353
23.319254	-0.859870
24.152222	-0.891529
24.985199	-0.923383
25.818184	-0.955459
26.651182	-0.988346
27.484188	-1.021759
28.317205	-1.054407
29.150232	-1.086314
29.983267	-1.118306
30.816307	-1.149765
31.649355	-1.180682
32.482410	-1.211287
33.315468	-1.240849
34.148537	-1.269361
34.981609	-1.296865
35.814690	-1.323630
36.647774	-1.349356
37.480869	-1.374215
38.313969	-1.398295
39.147076	-1.421476
39.980186	-1.443745
40.813301	-1.465237
41.646423	-1.486061
42.479553	-1.506180
43.312687	-1.525589
44.145824	-1.544323
44.978966	-1.562269
45.812115	-1.579464
46.645267	-1.595941
47.478428	-1.611753
48.311588	-1.626789
49.144756	-1.641043
49.977928	-1.654552
50.811100	-1.667261
51.644279	-1.679203
52.477463	-1.690456
53.310650	-1.700950
54.143845	-1.710639
54.977039	-1.719610
55.810238	-1.727829
56.643436	-1.735303
57.476643	-1.742088
58.309853	-1.748201
59.143063	-1.753605
59.976280	-1.758340
60.809498	-1.762426
61.642719	-1.765889
62.475945	-1.768660
63.309170	-1.770870
64.142403	-1.772446
64.975632	-1.773457
65.808868	-1.773895
66.642105	-1.773733
67.475349	-1.773036
68.308594	-1.771805
69.141838	-1.770105
69.975082	-1.767820
70.808334	-1.765099
71.641586	-1.761865
72.474838	-1.758137
73.308098	-1.754069
74.141357	-1.749478
74.974617	-1.744541
75.807877	-1.739109
76.641144	-1.733367
77.474411	-1.727262
78.307678	-1.720879
79.140945	-1.714125
79.974220	-1.707027
80.807487	-1.699685
81.640762	-1.692024
82.474037	-1.684152
83.307320	-1.675980
84.140594	-1.667604
84.973877	-1.658992
85.807159	-1.650179
86.640442	-1.641149
87.473724	-1.632017
88.307014	-1.622751
89.140297	-1.613287
89.973587	-1.603692
90.806877	-1.594004
91.640167	-1.584190
92.473457	-1.574282
93.306747	-1.564321
94.140045	-1.554289
94.973343	-1.544185
95.806633	-1.534035
96.639931	-1.523859
97.473228	-1.513669
98.306526	-1.503473
99.139832	-1.493257
99.973129	-1.483083
100.806435	-1.472948
101.639732	-1.462842
102.473038	-1.452771
103.306343	-1.442757
104.139641	-1.432831
104.972946	-1.422964
105.806259	-1.413188
106.639565	-1.403512
107.472870	-1.393932
108.306175	-1.384437
109.139488	-1.375066
109.972794	-1.365834
110.806107	-1.356728
111.639420	-1.347737
112.472733	-1.338889
113.306038	-1.330197
114.139351	-1.321645
114.972664	-1.313274
115.805977	-1.305039
116.639297	-1.296962
117.472610	-1.289065
118.305923	-1.281312
119.139236	-1.273752
119.972557	-1.266348
120.805870	-1.259174
121.639191	-1.252146
122.472511	-1.245345
123.305824	-1.238713
124.139145	-1.232264
124.972466	-1.225989
125.805779	-1.219913
126.639099	-1.214037
127.472420	-1.208386
128.305740	-1.202932
129.139069	-1.197633
129.972382	-1.192541
130.805710	-1.187631
131.639023	-1.182960
132.472351	-1.178442
133.305664	-1.174155
134.138992	-1.170084
134.972321	-1.166142
135.805634	-1.162395
136.638962	-1.158861
137.472290	-1.155507
138.305603	-1.152359
139.138931	-1.149412
139.972260	-1.146638
140.805588	-1.144021
141.638916	-1.141572
142.472229	-1.139331
143.305557	-1.137215
144.138885	-1.135334
144.972214	-1.133551
145.805542	-1.132028
146.638870	-1.130638
147.472183	-1.129428
148.305511	-1.128336
149.138840	-1.127398
149.972168	-1.126596
150.805496	-1.125918
151.638824	-1.125375
152.472153	-1.125093
153.305481	-1.124852
154.138809	-1.124754
154.972137	-1.124830
155.805466	-1.125024
156.638794	-1.125267
157.472122	-1.125795
158.305450	-1.126428
159.138779	-1.127048
159.972107	-1.127815
160.805435	-1.128870
161.638763	-1.129929
162.472092	-1.130990
163.305420	-1.132267
164.138763	-1.133605
164.972092	-1.134976
165.805420	-1.136329
166.638748	-1.137918
167.472076	-1.139534
168.305405	-1.141228
169.138733	-1.142943
169.972061	-1.144860
170.805405	-1.146631
171.638733	-1.148688
172.472061	-1.150635
173.305389	-1.152640
174.138718	-1.154827
174.972046	-1.156875
175.805374	-1.158990
176.638718	-1.161198
177.472046	-1.163448
178.305374	-1.165592
179.138702	-1.167745
179.972031	-1.169927
180.805374	-1.172143
181.638702	-1.174344
182.472031	-1.176489
183.305359	-1.178632
184.138702	-1.180701
184.972031	-1.182738
185.805359	-1.184737
186.638687	-1.186700
187.472031	-1.188619
188.305359	-1.190428
189.138687	-1.192154
189.972015	-1.193779
190.805359	-1.195361
191.638687	-1.196869
192.472015	-1.198258
193.305359	-1.199543
194.138687	-1.200764
194.972015	-1.201803
195.805344	-1.202742
196.638687	-1.203618
197.472015	-1.204286
198.305344	-1.204764
199.138687	-1.205211
199.972015	-1.205331
200.805359	-1.205465
201.638702	-1.205219
202.472046	-1.205076
203.305405	-1.204501
204.138748	-1.203742
204.972092	-1.203008
205.805435	-1.201992
206.638779	-1.200762
207.472137	-1.199244
208.305481	-1.197574
209.138824	-1.195607
209.972168	-1.193424
210.805511	-1.191127
211.638870	-1.188545
212.472214	-1.185709
213.305557	-1.182987
214.138901	-1.179689
214.972244	-1.176403
215.805603	-1.172757
216.638947	-1.168859
217.472290	-1.164742
218.305634	-1.160448
219.138992	-1.155956
219.972336	-1.151155
220.805710	-1.146084
221.639099	-1.140808
222.472473	-1.135322
223.305862	-1.129589
224.139236	-1.123606
224.972626	-1.117462
225.806000	-1.111004
226.639389	-1.104368
227.472763	-1.097543
228.306137	-1.090487
229.139526	-1.083185
229.972900	-1.075650
230.806290	-1.067939
231.639664	-1.059946
232.473053	-1.051805
233.306427	-1.043400
234.139816	-1.034843
234.973190	-1.026083
235.806580	-1.017093
236.639954	-1.007861
237.473343	-0.998470
238.306717	-0.988946
239.140106	-0.979200
239.973495	-0.969268
240.806915	-0.959141
241.640335	-0.948847
242.473755	-0.938391
243.307190	-0.927832
244.140610	-0.917060
244.974030	-0.906113
245.807465	-0.895030
246.640884	-0.883763
247.474304	-0.872371
248.307724	-0.860859
249.141159	-0.849218
249.974579	-0.837449
250.807999	-0.825533
251.641434	-0.813499
252.474854	-0.801353
253.308273	-0.789076
254.141708	-0.776679
254.975128	-0.764198
255.808548	-0.751611
256.641968	-0.738909
257.475403	-0.726121
258.308838	-0.713246
259.142242	-0.700266
259.975677	-0.687228
260.809143	-0.674119
261.642609	-0.660936
262.476074	-0.647679
263.309540	-0.634357
264.143005	-0.620978
264.976471	-0.607542
265.809937	-0.594052
266.643402	-0.580518
267.476868	-0.566937
268.310333	-0.553320
269.143829	-0.539677
269.977295	-0.525983
270.810760	-0.512252
271.644226	-0.498519
272.477692	-0.484760
273.311157	-0.470960
274.144623	-0.457155
274.978088	-0.443342
275.811554	-0.429504
276.645020	-0.415676
277.478485	-0.401848
278.311951	-0.388008
279.145416	-0.374184
279.978882	-0.360365
280.812408	-0.346549
281.645905	-0.332761
282.479431	-0.318979
283.312927	-0.305220
284.146454	-0.291491
284.979950	-0.277773
285.813446	-0.264095
286.646973	-0.250446
287.480469	-0.236818
288.313995	-0.223244
289.147491	-0.209700
289.981018	-0.196193
290.814514	-0.182742
291.648010	-0.169326
292.481537	-0.155962
293.315033	-0.142652
294.148560	-0.129391
294.982056	-0.118704
295.815552	-0.108031
296.649078	-0.097899
297.482574	-0.086424
298.316101	-0.075695
299.149597	-0.063065
299.983093	-0.051333
300.816650	-0.038939
301.650208	-0.025202
302.483765	-0.013518
